123 ,123 48,OB,, CB,48,M,39372,Movement 3 child moves right leg in a nearly continual movement from side to frontal orginal position then back to side (movement 4)
123 ,123 48,OB,, CB,48,M,43248,Movement 5 child moves right leg back to original frontal position
123 ,123 48,OB,, CB,48,M,45417,Movement 6 child moves left leg back to original frontal position
123 ,123 48,OB,, CB,48,M,80913,Movement 9 child moves right leg from back to original frontal position
126 ,126 36,MO,, C3,36,M,74565,robot reset
127 ,127 48,TS,, C3,48,m,89488,Child keeps twisting and turning; difficult to follow; distracted
127 ,127 48,TS,, C3,48,m,94884,Robot reset by experimenter
127 ,127 48,TS,, C3,48,m,133192,Child tries to grab things from bag
130 ,130 60,MO,, CB,60,x,34182,Child moves robots legs as if it is walking
130 ,130 60,MO,, CB,60,x,41186,child spins robot's head around
131 ,131 60,MO,, C5,60,f,0,child did 0 movements and did not interact with the robot
131 ,131 60,MO,, C5,60,f,340918,child comments "I dont remember"
131 ,131 60,TS,, C3,60,f,178242,experimenter resets robot
131 ,131 60,TS,, C3,60,f,184041,While moving right arm; left arm gets accidentally pushed back to standard position by child's palm
131 ,131 60,TS,, C3,60,f,189542,child gets pose correct on second try
132 ,132 54,TS,, C5,54,m,222356,experimenter switches order between right leg front and left leg front during demo - counted left leg before right leg as correct
132 ,132 54,TS,, C5,54,m,259877,Left arm up goes back to standard as he brings head front
134 ,134 36,OB,, C5,36,M,381258,After movement 7; child picks up robot and both legs revert back to original position
134 ,134 36,MO,, C4,36,M,247188,robot reset
134 ,134 36,MO,, C4,36,M,262616,robot reset
134 ,134 36,OB,, C3,36,M,167596,Experimenter asks child to "show me again" after movement 3
135 ,135 36,MO,, C4,36,F,255103,head snapped back into place when child moved left arm forward
135 ,135 36,TS,, C3,36,f,169402,reset
135 ,135 36,TS,, C3,36,f,174449,
136 ,136 60,TS,, C5,60,M,316187,robot reset
136 ,136 60,TS,, MJ4,60,M,228650,robot reset
136 ,136 60,TS,, MJ4,60,M,234710,the robot markings were facing the child but the head was fcing away from the child - coded movements as back orientation
136 ,136 60,TS,, C3,60,M,153548,robot reset
137 ,137 40,MO,, C4,40,F,265930,both arms snap back into original positions when child moves head to original position
137 ,137 40,MO,, C4,40,F,270781,right arm snaps back into original position
